اسم السوبر ماركت,فترة سريان العرض,الفرع / الموقع,تاريخ تعديل ملف الفلاير,الفئة,اسم العلامة التجارية,اسم المنتج (الأساسي),الاسم بالعربية,العبارة الترويجية,الوحدة,السعر الأصلي,السعر الحالي,الخصم %,العملة,قيود العرض,اسم ملف الفلاير,اسم المجلد الفرعي,السعر المحسوب,__source_file__,solution_key,الفئة_الأصلية,الفئة_الجديدة,source_file,Unnamed: 23,,#CALC!,#N/A
أسواق فتح الله,,,12/18/2025 19:23,مطبخ (أدوات طهي),الصفوه ايليت,transparent food serving tray,الصفوه ايليت صينية طعام شفافة,الفئة مطبخ (أدوات طهي) offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,129,109,15,جنيه,,SIM98_F1_flyer_8293_page_36.jpg,,108.36,merged_cleansed_output.xlsx,8293,Kitchenware,مطبخ (أدوات),merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 12:58,مستلزمات منزلية,كولومبو,colombo refrigerator set,طقم ثلاجه كولومبو 3 علبه الوان,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,طقم,141,109,22,جنيه,,page_33.jpg,flyer_8293,108.57,merged_cleansed_output.xlsx,8293,Houseware,مستلزمات منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:34,ألعاب,fuqier,fashion doll in suitcase,عروسة شنطة لوكس 29b-jx300,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,عبوة,185,109,41,جنيه,,page_58.jpg,flyer_8585,109.15,merged_cleansed_output.xlsx,8585,Toys,ألعاب,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/18/2025 19:23,مستلزمات منزلية,mentra,mentra rectangular refrigerator container,منترا علبه ثلاجه مستطيلة 4 لتر,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,4 liter,216,109,49,جنيه,,SIM92_F1_flyer_8293_page_32.jpg,,108,merged_cleansed_output.xlsx,8293,Houseware,مستلزمات منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/26/2025 15:48,أجهزة تليفزيون والكترونيات,kingston,kingston memory card 256g,كينج ستون ميموري كارد 256g,تقسيط 92 12 شهر offer أسواق فتح الله الفئة أجهزة تليفزيون والكترونيات offer أسواق فتح الله,قطعة,1100,1099,0,جنيه,,20251226_F1_flyer_8732_page_30.jpg,,,merged_cleansed_output.xlsx,8732,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/26/2025 15:48,أجهزة تليفزيون والكترونيات,infinix,infinix earbuds tws xe28,انفينكس ايربود,تقسيط 106 12 شهر offer أسواق فتح الله الفئة أجهزة تليفزيون والكترونيات offer أسواق فتح الله,عبوة,1266,1099,13,جنيه,,SIM92_F1_flyer_8732_page_16.jpg,,,merged_cleansed_output.xlsx,8732,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/18/2025 19:23,مستلزمات منزلية,mintra,plastic folding chair,كرسي بلاستيك هيكل معدن قابل للطي,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,1350,1099,18,جنيه,,20251218_F1_flyer_8293_page_45.jpg,,1093.5,merged_cleansed_output.xlsx,8293,Home Supplies,مستلزمات منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/26/2025 15:48,أجهزة تليفزيون والكترونيات,mediatech,headphones anc mt-h90 anc,ميديا تك هيدفون,تقسيط 148 12 شهر offer أسواق فتح الله الفئة أجهزة تليفزيون والكترونيات offer أسواق فتح الله,,1777,1099,38,جنيه,,SIM90_F1_flyer_8732_page_17.jpg,,1101.74,merged_cleansed_output.xlsx,8732,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:24,أجهزة منزلية,ديلونجي,oil heater,ديلونجي دفاية زيت 12 ريشة 3 مستويات للحراره,TRRS12 offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,11999,10999,8,جنيه,,page_16.jpg,flyer_8562,11039.08,merged_cleansed_output.xlsx,8562,أجهزة كهربائية,أجهزة منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:24,أجهزة منزلية,sharp,sharp top load washing machine 9 kg pulsator - dark silver,شارب غسالة توب 9 ك بالبلطمة- سيلفر غامق,قيمة الخصم 1620 offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,kg,12619,10999,12,جنيه,,page_9.jpg,flyer_8562,10978.53,merged_cleansed_output.xlsx,8562,APPLIANCES,أجهزة منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,أطعمة مجمدة,gano,goulash,جانو جلاش,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,350 جم,16,11,31,جنيه,,page_14.jpg,flyer_8585,11.04,merged_cleansed_output.xlsx,8585,Frozen Pastry,أطعمة مجمدة,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,منظفات منزلية,brix,brix household cleaner and disinfectant,بريكس منظف ومطهر منزلي 2 لتر,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,لتر,120,110,8,جنيه,,page_49.jpg,flyer_8585,,merged_cleansed_output.xlsx,8585,Household Cleaner,منظفات منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,مستلزمات منزلية,brix,brix floor cleaner,بركس منظف ارضيات 3 لتر,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,3 liter,120,110,8,جنيه,,page_41.jpg,flyer_8585,110.4,merged_cleansed_output.xlsx,8585,Household,مستلزمات منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/26/2025 15:48,شنط واكسسوارات,riversong,riversong mobile micro usb cable cm32a,ريفرسونج كابل موبايل ميكرو cm32a,offer أسواق فتح الله الفئة شنط واكسسوارات offer أسواق فتح الله,,133,110,17,جنيه,,20251226_F1_flyer_8732_page_21.jpg,,110.39,merged_cleansed_output.xlsx,8732,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,أطعمة- شيكولاتة وحلويات,cadbury,cadbury dairy milk chocolate bar,كادبوري شوكولاتة 160 جم انواع,انواع offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,جم,138,110,20,جنيه,,page_37.jpg,flyer_8585,110.4,merged_cleansed_output.xlsx,8585,Chocolate,أطعمة- شيكولاتة وحلويات,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,أطعمة -معلبات / تونة,3m,3m tuna chunks,ثري ام تونة قطع 170+15جم زيادة 2 ق شرنك,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,pack,144,110,23,جنيه,,page_29.jpg,flyer_8585,109.44,merged_cleansed_output.xlsx,8585,Canned Food,أطعمة -معلبات / تونة,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,مفروشات ومنسوجات,,duvet stripe double,لحاف سترايب زوجي,BEST PRICE offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,1100,1100,0,جنيه,,page_53.jpg,flyer_8585,,merged_cleansed_output.xlsx,8585,Textile,مفروشات ومنسوجات,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,مفروشات ومنسوجات,,duvet cover blanket double,لحاف وجه بطانية زوجي,BEST PRICE offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,1100,1100,0,جنيه,,page_53.jpg,flyer_8585,,merged_cleansed_output.xlsx,8585,Textile,مفروشات ومنسوجات,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/26/2025 15:48,أجهزة تليفزيون والكترونيات,mediatech,earphones mt-33,ميديا تك ايرفون,تقسيط 22 12 شهر offer أسواق فتح الله الفئة أجهزة تليفزيون والكترونيات offer أسواق فتح الله,,260,111,57,جنيه,,SIM90_F1_flyer_8732_page_17.jpg,,111.8,merged_cleansed_output.xlsx,8732,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,أجهزة تكييف,always,always roxana na'ama el reesh,اولويز روكسان نعومة الريش سميكه طويله 44 فوطة / طويله جدا 40 فوطة,ميجا التوفير + 6 الفئة أجهزة تكييف offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,عبوة,133,112,15,جنيه,,page_43.jpg,flyer_8585,111.72,merged_cleansed_output.xlsx,8585,Sanitary Pads,Sanitary Pads,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/25/2025 21:57,العناية الشخصية,ossum,ossum blossom body splash for women,اوسوم بادى ميست 250 مل,For Women offer أسواق فتح الله الفئة العناية الشخصية offer أسواق فتح الله offer أسواق فتح الله,مل,139,112,19,جنيه,,20251225_F1_flyer_8726_page_4.jpg,,112.59,merged_cleansed_output.xlsx,8726,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:24,أجهزة منزلية,hisense,hisense 43 inch smart tv with receiver 43a4k,هاي سينس شاشة 43 بوصة سمارت بريسيفر 43a4k,قيمة 1900 الخصم offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,13199,11299,14,جنيه,,page_4.jpg,flyer_8562,,merged_cleansed_output.xlsx,8562,Appliances,أجهزة منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/25/2025 21:57,أجهزة منزلية,samsung,samsung top load washing machine wa11dg5410bwas (11 kg),سامسونج غساله تحميل علوي 11 كيلو wa11dg5410bwas,WEEKEND OFFERS offer أسواق فتح الله الفئة أجهزة منزلية offer أسواق فتح الله offer أسواق فتح الله,piece,16999,11399,32,جنيه,,20251225_F1_flyer_8726_page_28.jpg,,11389.33,merged_cleansed_output.xlsx,8726,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:24,أجهزة منزلية,tornado,tornado 43 inch smart tv with built-in receiver,تورنادو تليفزيون 43 بوصة ريسيفر سمارت 43es1500e,قيمة 850 الخصم offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,12299,11449,6,جنيه,,page_4.jpg,flyer_8562,,merged_cleansed_output.xlsx,8562,Appliances,أجهزة منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/26/2025 15:48,أجهزة سمعية وكمبيوتر,cardo,cardo 60w car charger + car holder magsafe,كاردو شاحن سياره 60w + هولدر سياره,تقسيط 111 12 شهر offer أسواق فتح الله الفئة أجهزة سمعية وكمبيوتر offer أسواق فتح الله,,1333,1148,13,جنيه,,20251226_F1_flyer_8732_page_27.jpg,,,merged_cleansed_output.xlsx,8732,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/18/2025 19:23,مستلزمات منزلية,egpayli,clothes drying rack,سارايلي منشر غسيل تركي (caprice k),MADE IN TURKEY offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,1299,1149,11,جنيه,,SIM95_F1_flyer_8293_page_42.jpg,,1143.12,merged_cleansed_output.xlsx,8293,Home Supplies,مستلزمات منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/25/2025 21:57,أدوات مائدة,luminarc arcopal,luminarc arcopal emirati dinner set,لومينارك اركوبال اماراتي طقم عشاء 26 ق,offer أسواق فتح الله الفئة أدوات مائدة offer أسواق فتح الله offer أسواق فتح الله,طقم 26 قطعة,1499,1149,23,جنيه,,20251225_F1_flyer_8726_page_46.jpg,,1154.23,merged_cleansed_output.xlsx,8726,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:24,أجهزة منزلية,white point,white point cooker 5 burner 80x60 stainless steel safety,وايت بوينت بوتجاز 5 ش 80*60 استانلس امان,unionaire offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,عبوة,12499,11499,8,جنيه,,page_10.jpg,flyer_8562,11499.08,merged_cleansed_output.xlsx,8562,أجهزة منزلية,أجهزة منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/22/2025 16:48,مستلزمات منزلية,matrix,matrix refrigerator container set square 3 pcs - el helal & el negma,ماتريكس طقم علب ثلاجة مربع 3 ق - الهلال والنجمة,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,طقم,129,115,10,جنيه,,SIM90_F2_flyer_8585_page_60.jpg,,114.81,merged_cleansed_output.xlsx,8585,Houseware,مستلزمات منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/18/2025 19:23,مستلزمات منزلية,ايليت,travel box,علبة رحلات ايليت,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,149,115,22,جنيه,,SIM98_F1_flyer_8293_page_36.jpg,,114.73,merged_cleansed_output.xlsx,8293,Household Storage,مستلزمات منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,أطعمة -الألبان ومنتجاتها,bonny,sweetened condensed milk,بوني حليب مكثف كامل الدسم 395جم,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,395 جم,149,115,22,جنيه,,page_16.jpg,flyer_8585,114.73,merged_cleansed_output.xlsx,8585,Dairy,أطعمة -الألبان ومنتجاتها,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 12:58,مستلزمات منزلية,elite,travel box,علبة رحلات ايليت,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,149,115,22,جنيه,,page_36.jpg,flyer_8293,114.73,merged_cleansed_output.xlsx,8293,Household,مستلزمات منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,أطعمة -زيوت ودهون,el rashidi el mizan,halawa,الرشيدي الميزان 900 جم,الفئة أطعمة -زيوت ودهون offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,جم,159,115,27,جنيه,,page_18.jpg,flyer_8585,114.48,merged_cleansed_output.xlsx,8585,Grocery,أطعمة -زيوت,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/18/2025 19:23,مطبخ (أدوات طهي),hero plast,transparent oval serving dish,طبق تقديم بيضاوي شفاف,شفاف الفئة مطبخ (أدوات) الفئة مطبخ (أدوات طهي) offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,طبق,177,115,35,جنيه,,20251218_F1_flyer_8293_page_35.jpg,,115.05,merged_cleansed_output.xlsx,8293,Serving Ware,أدوات مائدة,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 12:58,مطبخ (أدوات طهي),hero plast,hero plast transparent oval serving dish,طبق تقديم بيضاوي شفاف,شفاف الفئة مطبخ (أدوات) الفئة مطبخ (أدوات طهي) offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,طبق,177,115,35,جنيه,,page_35.jpg,flyer_8293,115.05,merged_cleansed_output.xlsx,8293,Serving Ware,أدوات مائدة,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,أطعمة -زيوت ودهون,lino,granola mixed nuts cereal,لينو جرانولا سيريـال 350 جم,Mixed Nuts الفئة أطعمة -زيوت ودهون offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,350 جم,141,116,17,جنيه,,page_25.jpg,flyer_8585,117.03,merged_cleansed_output.xlsx,8585,Grocery,أطعمة -زيوت,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,أطعمة -زيوت ودهون,دايما,indian basmati rice,دايما ارز بسمتي هندي 5ك,الفئة أطعمة -زيوت ودهون offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,5 kg,137.5,116.75,15,جنيه,,page_26.jpg,flyer_8585,116.875,merged_cleansed_output.xlsx,8585,Grocery,أطعمة -زيوت,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,مفروشات ومنسوجات,,blanket romance neo princess two layers,بطانية رومانس نيو برنسيسة طبقتين,7 % SAVING offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,1250,1165,6,جنيه,,page_53.jpg,flyer_8585,1162.5,merged_cleansed_output.xlsx,8585,Textile,مفروشات ومنسوجات,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:24,أجهزة منزلية,samsung,samsung top load washing machine 11 kg,سامسونج غساله تحميل علوي 11 كيلو,قيمة الخصم 5300 offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,kg,16999,11699,31,جنيه,,page_9.jpg,flyer_8562,11729.31,merged_cleansed_output.xlsx,8562,APPLIANCES,أجهزة منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,أطعمة -زيوت ودهون,abu el walad,triangles cheese,ابو الولد مثلثات,40 ق الفئة أطعمة -زيوت ودهون offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,قطعة,139,117,15,جنيه,,page_11.jpg,flyer_8585,116.76,merged_cleansed_output.xlsx,8585,Grocery,أطعمة -زيوت,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:34,مفروشات ومنسوجات,اصلان,aslan blanket (amina / hind),بطانيه اصلان 4 ك (امينه / هند),offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,4 kg,1250,1175,6,جنيه,,page_55.jpg,flyer_8585,1175,merged_cleansed_output.xlsx,8585,Textile,مفروشات ومنسوجات,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/26/2025 15:48,أجهزة سمعية وكمبيوتر,infinix,note50s,انفينيكس موبايل note50s,"تقسيط 1214 12 شهر, 8G 256G RAM ROM offer أسواق فتح الله الفئة أجهزة سمعية وكمبيوتر offer أسواق فتح الله",,14566,11777,19,جنيه,,SIM93_F1_flyer_8732_page_8.jpg,,,merged_cleansed_output.xlsx,8732,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:24,أجهزة منزلية,kiriazi,kiriazi joker deluxe cooker safety + fan 5 burner,كريازي بوتجاز جوكر دى لوكس امان + مروحه 5 شعله,unionaire offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,عبوة,13260,11780,11,جنيه,,page_10.jpg,flyer_8562,11801.4,merged_cleansed_output.xlsx,8562,أجهزة منزلية,أجهزة منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/26/2025 15:48,أدوات تنظيف,diva,divatol concentrated disinfectant liquid 250ml (2 bottles),ديفاتول سائل مطهر مركز 250 مل 2 ق,offer أسواق فتح الله الفئة أدوات تنظيف offer أسواق فتح الله,مل,128,118,7,جنيه,,SIM100_F1_flyer_8585_page_52.jpg,,117.76,merged_cleansed_output.xlsx,8585,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/25/2025 21:57,منظفات منزلية,diva,diva concentrated disinfectant liquid 250ml 2 pieces,ديفاتول سائل مطهر مركز 250 مل 2 ق,offer أسواق فتح الله الفئة منظفات منزلية offer أسواق فتح الله offer أسواق فتح الله,250 مل 2 ق,128,118,7,جنيه,,SIM100_F1_flyer_8585_page_52.jpg,,117.76,merged_cleansed_output.xlsx,8585,,,merged_cleansed_output.xlsx,,,,
