 اسم السوبر ماركت	فترة سريان العرض	الفرع / الموقع	تاريخ تعديل ملف الفلاير	الفئة	اسم العلامة التجارية	اسم المنتج (الأساسي)	الاسم بالعربية	العبارة الترويجية	الوحدة	السعر الأصلي	السعر الحالي	الخصم %	العملة	قيود العرض	اسم ملف الفلاير	اسم المجلد الفرعي	الاحداثيات	الموثوقية	السعر المحسوب	solution_key	end_date	status	standard_supermarket_name	clean_name	matched_sku	matched_image	matched_name	matched_price	match_score	confidence	needs_review	match_method
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	SeaStar	Smoked Herring	رنجة مدخنة ١ كيلو	الفئة أطعمة - أسماك	1 كيلو	237.95	206.25	13	EGP		page_3.jpg	flyer_9835	[289, 640, 460, 800]	0.95	207.0165	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	herrin	2000065000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000065000000_2.jpg	Herring Fillet	660	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	SeaStar	Smoked Herring Fillet	رنجة فيليه مدخنة ٢٥٠ جم	الفئة أطعمة - أسماك	250 جم	135	118.95	11	EGP		page_3.jpg	flyer_9835	[489, 470, 660, 630]	0.95	118.8	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	herrin	2000065000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000065000000_2.jpg	Herring Fillet	660	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	SeaStar	Smoked Herring Fillet with Paprika	رنجة فيليه بالبابريكا مدخنة ٤٣٠ جم ٣٨٠	الفئة أطعمة - أسماك	430 جم	177.95	149.95	15	EGP		page_3.jpg	flyer_9835	[289, 296, 460, 462]	0.95	149.478	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	herrin paprika	6224007280171	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224007280171.jpg	Sea Star Herring Fillet Paprika - 430 g	149.95	85.67567568	Good	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	SeaStar	Smoked Herring	رنجة مدخنة وزن	الفئة أطعمة - أسماك	وزن	239.95	208.25	13	EGP		page_3.jpg	flyer_9835	[289, 470, 460, 630]	0.95	208.7565	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	herrin	2000065000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000065000000_2.jpg	Herring Fillet	660	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	SeaStar	Smoked Herring Fillet	رنجة فيليه مدخنة ٥٠٠ جم	الفئة أطعمة - أسماك	500 جم	241	209.95	12	EGP		page_3.jpg	flyer_9835	[489, 640, 660, 800]	0.95	209.67	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	herrin	2000065000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000065000000_2.jpg	Herring Fillet	660	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	SeaStar	Smoked Herring Salad	سلطة رنجة مدخنة ٣٩٠ جم	الفئة أطعمة - أسماك	390 جم	169	145.45	13	EGP		page_3.jpg	flyer_9835	[689, 296, 860, 462]	0.95	145.34	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	herrin salad	2000545000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000545000000-removebg-preview.png	Herring Fillet Salad	750	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	SeaStar	Salted Sardines	سردين مملح ٤٠٠ جم	الفئة أطعمة - أسماك	400 جم	149	125.95	15	EGP		page_3.jpg	flyer_9835	[489, 980, 660, 1140]	0.95	126.65	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	salted sardines	2000845000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000845000000.jpg	Sardine Fish	219.95	66.66666667	Review	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	SeaStar	Smoked Salmon	سلمون مدخن ١٠٠ جم	الفئة أطعمة - أسماك	100 جم	289	259.95	10	EGP		page_3.jpg	flyer_9835	[689, 810, 860, 970]	0.95	260.1	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	salmon	154851	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/1/5/154851_new_sticker.jpg	Smoked Almond - 250 g	240	87.33333333	Good	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	SeaStar	Smoked Mackerel Fillet with Pepper	ماكريل فيليه مدخن ٢٥٠ جم بالفلفل	الفئة أطعمة - أسماك	250 جم	205	179.95	12	EGP		page_3.jpg	flyer_9835	[489, 810, 660, 970]	0.95	180.4	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	mackerel pepper	2004217000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2004217000000.jpg	Smoked Fillet Mackerel	1080	69.56521739	Review	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	SeaStar	Smoked Salmon	سلمون مدخن ٢٠٠ جم	الفئة أطعمة - أسماك	200 جم	534	479.95	10	EGP		page_3.jpg	flyer_9835	[689, 470, 860, 630]	0.95	480.6	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	salmon	154851	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/1/5/154851_new_sticker.jpg	Smoked Almond - 250 g	240	83.33333333	Fair	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	Saumon Fumé	Smoked Salmon Choice	سلمون مدخن تشويس ٢٠٠ جم	الفئة أطعمة - أسماك	200 جم	597	539.95	9	EGP		page_3.jpg	flyer_9835	[689, 640, 860, 800]	0.95	537.3	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	salmon choice	6224010194410	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224010194410_copy.jpg	Caviale Salmon - 400 g	669.95	74.07407407	Review	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	SeaStar	Salted Fesikh	فسيخ مملح ٣٢٥ جم	الفئة أطعمة - أسماك	325 جم	442	389.75	11	EGP		page_3.jpg	flyer_9835	[689, 980, 860, 1140]	0.95	388.96	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	salted fesikh	2000576000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/f/e/fesikhh_fillet.jpg	Fillet Fesikh Salad	950	88	Good	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:33	أطعمة -الألبان ومنتجاتها		Feta Cheese Slices Greek	جبنة فيتا شرائح يوناني	الفئة أطعمة -الألبان ومنتجاتها			218.45	0	EGP		page_4.jpg	flyer_9835	[244, 46, 410, 329]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	feta cheese slices reek	2000912000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000912120955_1_copy.jpg	Greek Feta Cheese Slices	873.8	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:33	أطعمة -الألبان ومنتجاتها	MAAS DAM	Maasdam Royal Cheese	جبنة مسدام رويال	الفئة أطعمة -الألبان ومنتجاتها			116.45	0	EGP		page_4.jpg	flyer_9835	[244, 340, 410, 623]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	maasdam royal cheese	2005120000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2005120000000_-_newww_imageee.jpg	Royal Goat Gouda Cheese	940	78.04878049	Fair	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:33	أطعمة -الألبان ومنتجاتها	MURATBEY	Turkish Creamy White Cheese	جبنة بيضاء كريمي تركي	HOT OFFER الفئة أطعمة -الألبان ومنتجاتها			67.5	0	EGP		page_4.jpg	flyer_9835	[420, 634, 586, 917]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	turkish creamy white cheese	3073781083200	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/3/0/3073781083200.jpg	Kiri Creamy Cheese - 48 Pieces	520	73.07692308	Review	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:33	أطعمة -الألبان ومنتجاتها		Turkish Baby Mozzarella Cheese	جبنة موتزاريلا بيبي تركي	HOT OFFER الفئة أطعمة -الألبان ومنتجاتها			129.5	0	EGP		page_4.jpg	flyer_9835	[420, 340, 586, 623]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	turkish baby mozzarella cheese	2009851000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2009851000000_with_logo.jpg	Muratbey Baby Mozzarella Cheese	518	81.96721311	Fair	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:33	أطعمة -الألبان ومنتجاتها	Hajdu	Hajdu Labneh Hungarian	هاجدو لبنة مجرى	الفئة أطعمة -الألبان ومنتجاتها		104.99	77.45	26	EGP		page_4.jpg	flyer_9835	[420, 46, 586, 329]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	hajdu labneh hunarian	2004085000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2008245000000_copy_2_1.jpg	Hajdu Hungarian Labneh	309.8	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:33	أطعمة -الألبان ومنتجاتها		Imported Yellow Cheddar Cheese	جبنة شيدر اصفر مستورد	الفئة أطعمة -الألبان ومنتجاتها			89.95	0	EGP		page_4.jpg	flyer_9835	[244, 634, 410, 917]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	imported yellow cheddar cheese	2000910000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000910047322_1.jpg	Grated Yellow Cheddar Cheese	420	91.22807018	Good	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:33	أطعمة -الألبان ومنتجاتها	Pinar	Pinar Turkish Labneh	بينار لبنة تركي	الفئة أطعمة -الألبان ومنتجاتها		109.99	88.95	19	EGP		page_4.jpg	flyer_9835	[596, 634, 762, 917]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	pinar turkish labneh	2000192000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000192000000_copy.jpg	Pinar Plain Labneh	355.8	73.68421053	Review	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:33	أطعمة -لحوم مصنعة وأجبان	المتحدو	El Mottahedoon Baladi Garlic-Free Pastrami	المتحدو بسطرمة بلدي بدون ثوم	الفئة أطعمة -لحوم مصنعة وأجبان		162.49	149.95	7	EGP		page_4.jpg	flyer_9835	[772, 46, 938, 329]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	el mottahedoon baladi arlic free pastrami	2000120000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000120000000.jpg	Baladi Pastrami without Garlic	599.8	72.72727273	Review	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:33	أطعمة -طحينة\حلاوة\عسل\شكولاتة سبريد		Green Olives with Pit	زيتون اخضر بالبذر	الفئة أطعمة -طحينة\حلاوة\عسل\شكولاتة سبريد			39.95	0	EGP		page_4.jpg	flyer_9835	[772, 340, 938, 623]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	reen olives pit	8426967014676	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/4/8426967014676.jpg	Goya Green Olives with Pits - 348 g	189.95	85.71428571	Good	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:33	أطعمة -لحوم مصنعة وأجبان	المراعي	Almarai Beef Luncheon (Plain - Spiced - Olive) - Chicken	المراعي لانشون بقري (سادة - بهار - زيتون) - دجاج	الفئة أطعمة -لحوم مصنعة وأجبان		67.49	55.45	17	EGP		page_4.jpg	flyer_9835	[772, 634, 938, 917]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	almarai beef luncheon plain spiced olive chicken	2000327000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000992020091_copy_copy_1.jpg	Almarai Beef Luncheon with Olives	221.8	73.68421053	Review	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:33	أطعمة -لحوم مصنعة وأجبان	المراعي	Almarai Smoked Turkey Breast	المراعي صدور رومي مدخن	الفئة أطعمة -لحوم مصنعة وأجبان		104.99	86.95	17	EGP		page_4.jpg	flyer_9835	[596, 46, 762, 329]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	almarai turkey breast	2000347000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000347000000-01.jpg	Almarai Smoked Turkey Breast	347.8	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:33	أطعمة -لحوم مصنعة وأجبان	RICH	Rich Smoked Chicken Breast - Smoked Turkey Breast	ريتش (صدور دجاج مدخن - صدور رومي مدخن)	الفئة أطعمة -لحوم مصنعة وأجبان		116.74	104.95	10	EGP		page_4.jpg	flyer_9835	[596, 340, 762, 623]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	rich chicken breast turkey breast	6223005081445	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223005081445_new_imaage.jpg	Temry Chicken Breasts Fillets - 1 kg	410	68.96551724	Review	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:35	أطعمة -الألبان ومنتجاتها	La Vache Qui Rit	La Vache Qui Rit Cheese Slices	لافاش كيري جبنة شرائح ٢٠ ق (شيدر-برجر)	HOT OFFER الفئة أطعمة -الألبان ومنتجاتها		174.95	154.95	11	EGP		page_5.jpg	flyer_9835	[440, 79, 586, 330]	0.97	155.7055	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	la vache qui rit cheese slices	3073781216356	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/3/0/3073781216356.jpg	La Vache Qui Rit Cheddar Cheese Slices - 24 Pieces	269.95	80	Fair	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:35	أطعمة -الألبان ومنتجاتها	Puck	Puck Cream Cheese Squeeze	بوك جبنة كريمي سكويز ٤٠٠ جم	HOT OFFER الفئة أطعمة -الألبان ومنتجاتها		480	409.95	14	EGP		page_5.jpg	flyer_9835	[270, 134, 400, 330]	0.98	408	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	puck cream cheese squeeze	6281048106495	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6281048106495.jpg	Puck Squeez Cream Cheese Spread - 400 g	409.95	95.71428571	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:35	أطعمة -الألبان ومنتجاتها	Puck	Puck Cream Cheese Jar	بوك جبنة كريمي زجاج ٣٢٠ جم	HOT OFFER الفئة أطعمة -الألبان ومنتجاتها		280	199.95	28	EGP		page_5.jpg	flyer_9835	[270, 408, 400, 637]	0.98	198.8	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	puck cream cheese	5760466732567	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/5/7/5760466732567_new.jpg	Puck Cream Cheese - 200 g	159.95	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:35	أطعمة -الألبان ومنتجاتها	Kraft	Kraft Cheddar Cream Cheese Jar	كرافت جبنة شيدر كريمي زجاج ٣٢٠ جم	HOT OFFER الفئة أطعمة -الألبان ومنتجاتها		280	209.95	25	EGP		page_5.jpg	flyer_9835	[270, 664, 400, 939]	0.98	210	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	kraft cheddar cream cheese	6084012090222	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/0/6084012090222_new.jpg	Kraft Cheddar Cheese - 480 g	450	86.95652174	Good	FALSE	auto
